reference_role,inference_role,reference_name,inference_name
REACTANT,REACTANT,"6-(2,2,3,3,3-pentafluoro-propoxy)-pyridine-2-carboxylic acid","6-(2,2,3,3,3-pentafluoro-propoxy)-pyridine-2-carboxylic acid"
REACTANT,REACTANT,"5-cyclopropyl-6-(2,2,3,3,3-pentafluoro-propoxy)-pyridine-2-carboxylic acid","5-cyclopropyl-6-(2,2,3,3,3-pentafluoro-propoxy)-pyridine-2-carboxylic acid"
REACTANT,REACTANT,2-amino-2-ethyl-N-methyl-butyramide,2-amino-2-ethyl-N-methyl-butyramide
REACTANT,REACTANT,Phe,Phe
REACTANT,REACTANT,Ala,Ala
REACTANT,REACTANT,Tyr,Tyr
REACTANT,REACTANT,(S)-2-(1-oxo-1H-isoquinolin-2-yl)-butyric acid,(S)-2-(1-oxo-1H-isoquinolin-2-yl)-butyric acid
REACTANT,REACTANT,"(3S)-3-amino-4-hydroxy-5-(2,3,5,6-tetrafluoro-phenoxy)-pentanoic acid tert-butyl ester","(3S)-3-amino-4-hydroxy-5-(2,3,5,6-tetrafluoro-phenoxy)-pentanoic acid tert-butyl ester"
REACTANT,COMPOUND_MISSING,2-formylbenzoic acid,COMPOUND_MISSING
REACTANT,SOLVENT,water,water
REACTANT,REACTANT,2-cyano-7-(3-(quinolin-2-ylmethoxy)phenoxymethyl)-4-oxo-4H-1-benzopyran,2-cyano-7-(3-(quinolin-2-ylmethoxy)phenoxymethyl)-4-oxo-4H-1-benzopyran
REACTANT,REACTANT,sodium azide,sodium azide
SOLVENT,SOLVENT,dimethylformamide,dimethylformamide
REACTANT,REACTANT,pyridinium chloride,pyridinium chloride
REACTANT,REACTANT,5-[2-[4-dibutylamino-2-(tert-butyldiphenylsiloxy)phenyl]vinyl]thiophene-2-carboaldehyde,5-[2-[4-dibutylamino-2-(tert-butyldiphenylsiloxy)phenyl]vinyl]thiophene-2-carboaldehyde
REACTANT,REACTANT,tetrabutylammonium fluoride,tetrabutylammonium fluoride
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,water,water
REACTANT,COMPOUND_MISSING,ethyl acetate,COMPOUND_MISSING
REACTANT,REACTANT,1-(5-Bromo-pyridin-3-ylmethyl)-4-methyl-piperazine,1-(5-Bromo-pyridin-3-ylmethyl)-4-methyl-piperazine
REACTANT,REACTANT,6-chloro-1-Boc-indole-2-boronic acid,6-chloro-1-Boc-indole-2-boronic acid
REACTANT,REACTANT,"2-(Cyclopropylethynyl)-N-methyl-N,4-bis(methyloxy)benzamide","2-(Cyclopropylethynyl)-N-methyl-N,4-bis(methyloxy)benzamide"
REACTANT,REACTANT,benzylmagnesium chloride,benzylmagnesium chloride
SOLVENT,SOLVENT,THF,THF
REACTANT,REACTANT,cyclopentene oxide,hydrochloric acid
REACTANT,SOLVENT,sodium,Water
SOLVENT,REACTANT,methanol,methanol
REACTANT,REACTANT,Mercaptoacetic acid,Mercaptoacetic acid
REACTANT,REACTANT,sodium methoxide,sodium methoxide
SOLVENT,SOLVENT,brine,brine
REACTANT,REACTANT,"tert-Butyl cis-4-(2-(4-carbamoylphenylamino)-[1,2,4]triazolo[1,5-a]pyridin-5-ylamino)cyclohexylcarbamate","tert-Butyl cis-4-(2-(4-carbamoylphenylamino)-[1,2,4]triazolo[1,5-a]pyridin-5-ylamino)cyclohexylcarbamate"
REACTANT,REACTANT,"tert-butyl cis-4-(2-(4-cyanophenylamino)-[1,2,4]triazolo[1,5-a]pyridin-5-ylamino)cyclohexylcarbamate","tert-butyl cis-4-(2-(4-cyanophenylamino)-[1,2,4]triazolo[1,5-a]pyridin-5-ylamino)cyclohexylcarbamate"
SOLVENT,SOLVENT,ethanol,ethanol
REACTANT,REACTANT,sodium carbonate,sodium carbonate
REACTANT,REACTANT,hydrogen peroxide,hydrogen peroxide
REACTANT,REACTANT,N-Bromosuccinimide,N-Bromosuccinimide
REACTANT,REACTANT,4-ethoxy-7-methylcoumarin,4-ethoxy-7-methylcoumarin
SOLVENT,SOLVENT,carbontetrachloride,carbontetrachloride
REACTANT,REACTANT,azo bisbutyronitrile,azo bisbutyronitrile
SOLVENT,SOLVENT,hexane,hexane
REACTANT,REACTANT,"N-(3-(3-(1-(2-fluorobenzyl)-1H-pyrazol-4-yl)-1-tosyl-1H-pyrrolo[2,3-b]pyridin-5-yl)phenyl) methanesulfonamide","N-(3-(3-(1-(2-fluorobenzyl)-1H-pyrazol-4-yl)-1-tosyl-1H-pyrrolo[2,3-b]pyridin-5-yl)phenyl) methanesulfonamide"
SOLVENT,SOLVENT,THF water methanol,THF water methanol
REACTANT,REACTANT,lithium hydroxide,lithium hydroxide
SOLVENT,SOLVENT,ethyl acetate,ethyl acetate
SOLVENT,COMPOUND_MISSING,ethyl acetate,COMPOUND_MISSING
REACTANT,REACTANT,water,water
REACTANT,REACTANT,4-(4′-hydroxyphenyl)benzoic acid,4-(4′-hydroxyphenyl)benzoic acid
REACTANT,REACTANT,sodium hydroxide,sodium hydroxide
SOLVENT,SOLVENT,dimethyl sulfoxide,dimethyl sulfoxide
REACTANT,REACTANT,4-phenoxybutyl bromide,4-phenoxybutyl bromide
REACTANT,REACTANT,2-tetrahydropyranyl 4-aminobicyclo[2.2.2]octane-1-carboxylate,2-tetrahydropyranyl 4-aminobicyclo[2.2.2]octane-1-carboxylate
REACTANT,REACTANT,(2S)-1-(2-bromoacetyl)pyrrolidine-2-carbonitrile,(2S)-1-(2-bromoacetyl)pyrrolidine-2-carbonitrile
REACTANT,REACTANT,compound,ethyl acetate
REACTANT,REACTANT,"4-{[4-(5-fluoro-2-methoxyphenyl)-2-hydroxy-4-methyl-2-(trifluoromethyl)pentylidene]amino}-2,3-dihydroisoindol-1-one","4-{[4-(5-fluoro-2-methoxyphenyl)-2-hydroxy-4-methyl-2-(trifluoromethyl)pentylidene]amino}-2,3-dihydroisoindol-1-one"
REACTANT,REACTANT,solution,solution
REACTANT,REACTANT,boron tribromide,boron tribromide
SOLVENT,SOLVENT,dichloromethane,dichloromethane
REACTANT,REACTANT,sodium bicarbonate,sodium bicarbonate
REACTANT,REACTANT,triethyl 2-phosphonobutyrate,triethyl 2-phosphonobutyrate
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,potassium tert-butoxide,potassium tert-butoxide
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,benzyl 2-methylthio-2-(5-formyl-2-methoxyphenyl)acetate,benzyl 2-methylthio-2-(5-formyl-2-methoxyphenyl)acetate
REACTANT,REACTANT,"9-bromo-1,6-dichloro-benzo[c][1,6]naphthyridine","9-bromo-1,6-dichloro-benzo[c][1,6]naphthyridine"
REACTANT,REACTANT,C-(1-methyl-1H-pyrazol-3-yl)-methylamine,C-(1-methyl-1H-pyrazol-3-yl)-methylamine
REACTANT,REACTANT,Et3N,Et3N
SOLVENT,SOLVENT,CH3CN,CH3CN
SOLVENT,COMPOUND_MISSING,EtOAc,COMPOUND_MISSING
REACTANT,REACTANT,( 56 ),( 56 )
REACTANT,REACTANT,sodium,sodium
REACTANT,REACTANT,"2,2-dicyano-1-methylsulfanyl-vinyl-cyanamide","2,2-dicyano-1-methylsulfanyl-vinyl-cyanamide"
REACTANT,REACTANT,hydrogen chloride,hydrogen chloride
SOLVENT,SOLVENT,diethyl ether,diethyl ether
REACTANT,REACTANT,5-bromo-2-nitropyridine,5-bromo-2-nitropyridine
REACTANT,REACTANT,1-(4-piperidyl)piperidine,1-(4-piperidyl)piperidine
REACTANT,REACTANT,triethyl amine,triethyl amine
SOLVENT,SOLVENT,DMSO,DMSO
REACTANT,REACTANT,solution,solution
REACTANT,REACTANT,oxalyl chloride,oxalyl chloride
REACTANT,REACTANT,"5-(4-chlorophenyl)-1-(2,4-dichlorophenyl)-4-methyl-1H-pyrazole-3-carboxylic acid","5-(4-chlorophenyl)-1-(2,4-dichlorophenyl)-4-methyl-1H-pyrazole-3-carboxylic acid"
SOLVENT,SOLVENT,dichloromethane,dichloromethane
SOLVENT,SOLVENT,dichloromethane,dichloromethane
REACTANT,REACTANT,Triethylamine,Triethylamine
REACTANT,REACTANT,4-carboxy-4-phenylpiperidin-1-ium chloride,4-carboxy-4-phenylpiperidin-1-ium chloride
CATALYST,COMPOUND_MISSING,"N,N-dimethylformamide",COMPOUND_MISSING
REACTANT,REACTANT,Intermediate 32,Intermediate 32
REACTANT,REACTANT,phenylmethyl 3-{4-[6-amino-2-(butyloxy)-8-(methyloxy)-9H-purin-9-yl]butyl}-1-piperidinecarboxylate,phenylmethyl 3-{4-[6-amino-2-(butyloxy)-8-(methyloxy)-9H-purin-9-yl]butyl}-1-piperidinecarboxylate
REACTANT,REACTANT,product,product
REACTANT,REACTANT,p-toluenesulfonic acid,p-toluenesulfonic acid
SOLVENT,SOLVENT,CH3OH EtOAc,CH3OH EtOAc
SOLVENT,SOLVENT,CH3OH EtOAc,CH3OH EtOAc
REACTANT,REACTANT,N-(2-acetylphenyl)-4-methoxybenzamide,N-(2-acetylphenyl)-4-methoxybenzamide
SOLVENT,SOLVENT,t-butanol,t-butanol
REACTANT,REACTANT,potassium t-butoxide,potassium t-butoxide
REACTANT,REACTANT,NH4Cl,NH4Cl
REACTANT,REACTANT,(S)-methyl-L-cysteine methylester hydrochloride,ester
REACTANT,REACTANT,2-bromomethylquinoline,LiOH
REACTANT,REACTANT,sodium bicarbonate,LiOH
SOLVENT,SOLVENT,DMF,THF
REACTANT,REACTANT,LiHMDS,LiHMDS
REACTANT,REACTANT,THF,THF
REACTANT,REACTANT,2-amino-5-chloropyridine,2-amino-5-chloropyridine
REACTANT,REACTANT,mono ester,mono ester mono amide
REACTANT,SOLVENT,THF,THF
CATALYST,REACTANT,Tetrabutylammonium bromide,Tetrabutylammonium bromide
REACTANT,REACTANT,2-Bromo-3-nitro-5-trifluoromethyl-pyridine,2-Bromo-3-nitro-5-trifluoromethyl-pyridine
SOLVENT,SOLVENT,toluene,toluene
REACTANT,REACTANT,copper(I) cyanide,copper(I) cyanide
REACTANT,REACTANT,3-(3-methoxyphenoxy)pyridine,3-(3-methoxyphenoxy)pyridine
REACTANT,REACTANT,peracetic acid,peracetic acid
SOLVENT,SOLVENT,acetic acid,acetic acid
SOLVENT,SOLVENT,acetic acid,acetic acid
REACTANT,SOLVENT,isopropanol,isopropanol
REACTANT,REACTANT,Compound ( 37 ),Compound ( 37 )
REACTANT,REACTANT,Carbazole,Carbazole
REACTANT,REACTANT,sodium hydroxide,sodium hydroxide
SOLVENT,SOLVENT,water,water
CATALYST,REACTANT,benzyltriethyl ammonium chloride,benzyltriethyl ammonium chloride
REACTANT,REACTANT,1-bromopentane,1-bromopentane
SOLVENT,COMPOUND_MISSING,water,COMPOUND_MISSING
SOLVENT,COMPOUND_MISSING,tetrahydrofuran,COMPOUND_MISSING
REACTANT,REACTANT,Trifluoro-methanesulfonic acid 3-(4-trifluoromethyl-phenyl)-benzo[d]isothiazol-6-yl ester,Trifluoro-methanesulfonic acid 3-(4-trifluoromethyl-phenyl)-benzo[d]isothiazol-6-yl ester
REACTANT,REACTANT,2-propyn-1-ol,2-propyn-1-ol
REACTANT,REACTANT,hydrogen peroxide,hydrogen peroxide
REACTANT,REACTANT,secondary phosphine oxide,secondary phosphine oxide
REACTANT,REACTANT,"1-oxo-1,2,3,4-tetrahydrophosphinoline","1-oxo-1,2,3,4-tetrahydrophosphinoline"
REACTANT,REACTANT,Sodium sulfate decahydrate,Sodium sulfate decahydrate
SOLVENT,SOLVENT,ethyl acetate,ethyl acetate
REACTANT,REACTANT,"ethyl 1-benzyl-3-[(4{[2-(2-furyl)-5-methyl-1,3-oxazol-4-yl]methoxy}benzyl)oxy]-1H-pyrazole-4-carboxylate","ethyl 1-benzyl-3-[(4{[2-(2-furyl)-5-methyl-1,3-oxazol-4-yl]methoxy}benzyl)oxy]-1H-pyrazole-4-carboxylate"
REACTANT,REACTANT,lithium aluminum hydride,lithium aluminum hydride
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,"7-bromo-5,5-dimethyl-1,5-dihydro-4,1-benzoxazepin-2(3H)-one","7-bromo-5,5-dimethyl-1,5-dihydro-4,1-benzoxazepin-2(3H)-one"
REACTANT,REACTANT,3-bromo-5-chloro-1-fluorobenzene,3-bromo-5-chloro-1-fluorobenzene
REACTANT,REACTANT,mixture,mixture
REACTANT,REACTANT,isopropanol,isopropanol
REACTANT,REACTANT,triphenylphosphine,triphenylphosphine
REACTANT,REACTANT,diethyl azodicarboxylate,diethyl azodicarboxylate
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,potassium phosphate,potassium phosphate
SOLVENT,SOLVENT,water,water
REACTANT,REACTANT,solution,solution
REACTANT,REACTANT,sodium hypochlorite,sodium hypochlorite
REACTANT,REACTANT,α-irone,α-irone
REACTANT,SOLVENT,methylene chloride,methylene chloride
REACTANT,REACTANT,acetic acid,acetic acid
REACTANT,REACTANT,pyrrolidine,pyrrolidine
REACTANT,REACTANT,6-chloromethyluracil,6-chloromethyluracil
SOLVENT,SOLVENT,water,water
SOLVENT,SOLVENT,dimethyl sulphoxide,dimethyl sulphoxide
REACTANT,REACTANT,2-fluoro-4-[4-(6-fluoro-1H-benzimidazol-2-yl)carbazol-9-yl]benzonitrile,2-fluoro-4-[4-(6-fluoro-1H-benzimidazol-2-yl)carbazol-9-yl]benzonitrile
REACTANT,REACTANT,potassium carbonate,potassium carbonate
REACTANT,SOLVENT,aqueous solution,aqueous solution
REACTANT,REACTANT,hydrogen peroxide,hydrogen peroxide
REACTANT,REACTANT,2H-pyrazol-3-ylmethylamine,2H-pyrazol-3-ylmethylamine
REACTANT,COMPOUND_MISSING,sodium hydroxide,COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,aqueous solution,COMPOUND_MISSING
SOLVENT,COMPOUND_MISSING,ethanol,COMPOUND_MISSING
REACTANT,REACTANT,NH4Cl,NH4Cl
SOLVENT,SOLVENT,DCM,DCM
REACTANT,REACTANT,methylmagnesium bromide,methylmagnesium bromide
REACTANT,REACTANT,"(S,E)-tert-butyl 5-((tert-butylsulfinylimino)methyl)thiophene-2-carboxylate","(S,E)-tert-butyl 5-((tert-butylsulfinylimino)methyl)thiophene-2-carboxylate"
SOLVENT,SOLVENT,DCM,DCM
SOLVENT,SOLVENT,ethanol,ethanol
REACTANT,REACTANT,sodium,sodium
REACTANT,REACTANT,o-bromothiophenol,o-bromothiophenol
SOLVENT,REACTANT,ethanol,ethanol
REACTANT,REACTANT,1-bromo-2-chloropentane,1-bromo-2-chloropentane
REACTANT,REACTANT,Water,Water
REACTANT,REACTANT,"2-(difluoromethyl)-4-methoxy-1-[4-(4-morpholinyl)-6-(1-piperazinyl)-1,3,5-triazin-2-yl]-1H-benzimidazole","2-(difluoromethyl)-4-methoxy-1-[4-(4-morpholinyl)-6-(1-piperazinyl)-1,3,5-triazin-2-yl]-1H-benzimidazole"
REACTANT,REACTANT,DIPEA,DIPEA
REACTANT,REACTANT,dimethylsulfamoyl chloride,dimethylsulfamoyl chloride
SOLVENT,SOLVENT,CH2Cl2,CH2Cl2
REACTANT,REACTANT,sulfuric acid,sulfuric acid
SOLVENT,REACTANT,methanol,methanol
REACTANT,REACTANT,acid,acid
REACTANT,REACTANT,sodium bicarbonate,sodium bicarbonate
REACTANT,REACTANT,1-trityl-1H-imidazole-2-carbaldehyde,1-trityl-1H-imidazole-2-carbaldehyde
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,diisopropylamine,diisopropylamine
REACTANT,REACTANT,butyllithium,butyllithium
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
SOLVENT,SOLVENT,hexane,hexane
SOLVENT,SOLVENT,water,water
REACTANT,REACTANT,"8,9-dihydro-10-methylpyrido[1,2-a]indol-6(7H)-one","8,9-dihydro-10-methylpyrido[1,2-a]indol-6(7H)-one"
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,COMPOUND_MISSING,oxalic acid,COMPOUND_MISSING
REACTANT,REACTANT,HCl,HCl
REACTANT,REACTANT,product,product
SOLVENT,SOLVENT,THF,THF
REACTANT,REACTANT,NaBH4,NaBH4
REACTANT,REACTANT,I2,ice
REACTANT,REACTANT,EDC,EDC
REACTANT,REACTANT,"7-(3,5-Dimethylisoxazol-4-yl)-6-methoxy-N4-((tetrahydro-2H-pyran-4-yl)methyl)quinoline-3,4-diamine","7-(3,5-Dimethylisoxazol-4-yl)-6-methoxy-N4-((tetrahydro-2H-pyran-4-yl)methyl)quinoline-3,4-diamine"
REACTANT,REACTANT,Intermediate 17,Intermediate 17
SOLVENT,SOLVENT,methanol,methanol
REACTANT,REACTANT,ethyl isothiocyanate,ethyl isothiocyanate
SOLVENT,COMPOUND_MISSING,THF,COMPOUND_MISSING
REACTANT,REACTANT,"2(R)-[1(S)-(benzyloxycarbamoyl)-4-phenylbutyl]-4-methyl-N-(2,4,6-trioxo-1,3,5-triazin-1-yl)valeramide","2(R)-[1(S)-(benzyloxycarbamoyl)-4-phenylbutyl]-4-methyl-N-(2,4,6-trioxo-1,3,5-triazin-1-yl)valeramide"
SOLVENT,SOLVENT,methanol,methanol
CATALYST,CATALYST,palladium-on-carbon,palladium-on-carbon
CATALYST,CATALYST,zinc iodide,zinc iodide
REACTANT,REACTANT,lithium aluminium hydride,lithium aluminium hydride
SOLVENT,SOLVENT,ether,ether
REACTANT,REACTANT,sodium hydroxide,sodium hydroxide
SOLVENT,REACTANT,water,water
SOLVENT,REACTANT,water,water
REACTANT,REACTANT,Trimethylsilylcyanide,Trimethylsilylcyanide
REACTANT,REACTANT,2-formylbenzofuran,2-formylbenzofuran
SOLVENT,SOLVENT,ether,ether
REACTANT,REACTANT,Benzyl bromide,Benzyl bromide
REACTANT,REACTANT,potassium t-butoxide,potassium t-butoxide
REACTANT,SOLVENT,THF,THF
REACTANT,REACTANT,"4H-imidazo[4,5,1-ij]quinolin-2(1H)-one","4H-imidazo[4,5,1-ij]quinolin-2(1H)-one"
SOLVENT,SOLVENT,DMF,DMF
REACTANT,REACTANT,"3-(aminomethyl)-10-bromo-9-fluoro-6,7-dihydro-5H-5,7-methanobenzo[c]imidazo[1,2-a]azepine-2-carboxamide","3-(aminomethyl)-10-bromo-9-fluoro-6,7-dihydro-5H-5,7-methanobenzo[c]imidazo[1,2-a]azepine-2-carboxamide"
REACTANT,SOLVENT,"N,N-Dimethylformamide","N,N-Dimethylformamide"
SOLVENT,SOLVENT,ethyl acetate,ethyl acetate
REACTANT,REACTANT,"(S)-1-(1-{[4-(bromoacetyl)-2-cyanoquinolin-7-yl]methyl}-1H-1,2,3-triazol-4-yl)-1-(trifluoromethyl)propyl 4-nitrobenzoate","(S)-1-(1-{[4-(bromoacetyl)-2-cyanoquinolin-7-yl]methyl}-1H-1,2,3-triazol-4-yl)-1-(trifluoromethyl)propyl 4-nitrobenzoate"
REACTANT,REACTANT,acetamide,acetamide
SOLVENT,SOLVENT,DMF,DMF
REACTANT,REACTANT,Hydrochloric acid,Hydrochloric acid
REACTANT,REACTANT,(S)-methyl 3-(tert-butoxycarbonylamino)-3-(4-chlorophenyl)propanoate,(S)-methyl 3-(tert-butoxycarbonylamino)-3-(4-chlorophenyl)propanoate
REACTANT,REACTANT,Intermediate 19,Intermediate 19
SOLVENT,SOLVENT,DCM,DCM
REACTANT,REACTANT,product,product
REACTANT,SOLVENT,acetic acid,acetic acid
CATALYST,CATALYST,Pd/C,Pd/C
REACTANT,REACTANT,"4-bromo-2-(2,6-dichlorophenyl)-7-fluoro-2H-pyrazolo[4,3-c]pyridine","4-bromo-2-(2,6-dichlorophenyl)-7-fluoro-2H-pyrazolo[4,3-c]pyridine"
REACTANT,REACTANT,N-(6-aminopyrimidin-4-yl)-acetamide,N-(6-aminopyrimidin-4-yl)-acetamide
REACTANT,REACTANT,Xantphos,Xantphos
REACTANT,REACTANT,cesium carbonate,cesium carbonate
SOLVENT,SOLVENT,dioxane,dioxane
CATALYST,CATALYST,Pd2(dba)3,Pd2(dba)3
REACTANT,REACTANT,"D,L-alanine","D,L-alanine"
REACTANT,REACTANT,triethylamine,triethylamine
SOLVENT,SOLVENT,dichloromethane,dichloromethane
REACTANT,REACTANT,2-ethyloctanoyl chloride,2-ethyloctanoyl chloride
REACTANT,SOLVENT,water,water
REACTANT,REACTANT,trimethylsilyl chloride,trimethylsilyl chloride
SOLVENT,COMPOUND_MISSING,dichloromethane,COMPOUND_MISSING
REACTANT,REACTANT,6-[(S)-1-(tetrahydrofuran-2-yl)methoxy]isochromen-1-one,6-[(S)-1-(tetrahydrofuran-2-yl)methoxy]isochromen-1-one
REACTANT,REACTANT,"(S)-6-(4-methoxypiperidin-1-ylmethyl)-1,2,3,4-tetrahydro-naphthalen-2-ylamine","(S)-6-(4-methoxypiperidin-1-ylmethyl)-1,2,3,4-tetrahydro-naphthalen-2-ylamine"
SOLVENT,SOLVENT,NMP,NMP
REACTANT,REACTANT,t-butyl bromoacetate,t-butyl bromoacetate
REACTANT,REACTANT,oxazolidinone,oxazolidinone
SOLVENT,SOLVENT,THF,THF
REACTANT,REACTANT,diisopropylamine,diisopropylamine
REACTANT,REACTANT,n-butyl lithium,n-butyl lithium
SOLVENT,SOLVENT,THF,THF
REACTANT,REACTANT,6-bromo-4-nitro-N-[4-(trifluoromethyl)pyridin-2-yl]pyridin-2-amine,6-bromo-4-nitro-N-[4-(trifluoromethyl)pyridin-2-yl]pyridin-2-amine
SOLVENT,SOLVENT,acetic acid,acetic acid
CATALYST,CATALYST,iron,iron
REACTANT,REACTANT,methyl 4-bromo-2-methyl-benzoate,methyl 4-bromo-2-methyl-benzoate
SOLVENT,SOLVENT,Et2O,Et2O
REACTANT,REACTANT,LiAlH4,LiAlH4
REACTANT,REACTANT,66,66
REACTANT,REACTANT,sodium hydroxide,sodium hydroxide
CATALYST,CATALYST,tetrabutylammonium chloride,tetrabutylammonium chloride
SOLVENT,REACTANT,water,water
REACTANT,REACTANT,219,219
REACTANT,REACTANT,tert-octylmercaptan,tert-octylmercaptan
REACTANT,REACTANT,epichlorohydrin,epichlorohydrin
REACTANT,REACTANT,(S)-3-(4-Bromo-phenyl)-2-{5-chloro-2-[(naphthalen-1-ylmethyl)-amino]-benzoylamino}-propionic acid methyl ester,(S)-3-(4-Bromo-phenyl)-2-{5-chloro-2-[(naphthalen-1-ylmethyl)-amino]-benzoylamino}-propionic acid methyl ester
REACTANT,REACTANT,4-phenoxyphenylboronic acid,4-phenoxyphenylboronic acid
SOLVENT,SOLVENT,toluene,toluene
CATALYST,CATALYST,Pd (PPh3)4,Pd (PPh3)4
SOLVENT,REACTANT,CH2Cl2,CH2Cl2
REACTANT,REACTANT,Na2CO3,Na2CO3
REACTANT,REACTANT,"4-(2-cyclopropylmethoxy-5-methoxy-phenyl)-5H-pyrrolo[3,2-d]pyrimidine-7-carboxylic acid piperidin-4-ylamide","4-(2-cyclopropylmethoxy-5-methoxy-phenyl)-5H-pyrrolo[3,2-d]pyrimidine-7-carboxylic acid piperidin-4-ylamide"
REACTANT,REACTANT,cyclopropanecarbonyl chloride,cyclopropanecarbonyl chloride
SOLVENT,REACTANT,THF,[4-(4-Chloro-benzyloxy)-benzenesulfonyl]-1-(4-methylbenzyl)-piperidine-4-carboxylic acid
REACTANT,REACTANT,[4-(4-Chloro-benzyIoxy)-benzenesulfonyl]-1-(4-methylbenzyl)-piperidine-4-carboxylic acid ethyl ester,[4-(4-Chloro-benzyIoxy)-benzenesulfonyl]-1-(4-methylbenzyl)-piperidine-4-carboxylic acid ethyl ester
REACTANT,SOLVENT,Methanol,THF Methanol
REACTANT,REACTANT,NaOH,NaOH
REACTANT,REACTANT,"methyl 2-((S)-6-((R)-7-fluoro-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-2,3-dihydro-1H-inden-1-yloxy)-2,3-dihydrobenzofuran-3-yl)acetate","methyl 2-((S)-6-((R)-7-fluoro-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-2,3-dihydro-1H-inden-1-yloxy)-2,3-dihydrobenzofuran-3-yl)acetate"
REACTANT,REACTANT,"N-(4-bromo-3,5-dimethylphenethyl)methanesulfonamide","N-(4-bromo-3,5-dimethylphenethyl)methanesulfonamide"
REACTANT,REACTANT,Intermediate 1,Intermediate 1
REACTANT,REACTANT,"(1S,6R)-tert-butyl 3,8-diazabicyclo[4.2.0]octane-3-carboxylate","(1S,6R)-tert-butyl 3,8-diazabicyclo[4.2.0]octane-3-carboxylate"
REACTANT,REACTANT,Na2CO3,Na2CO3
SOLVENT,SOLVENT,PhCH3,PhCH3
SOLVENT,SOLVENT,H2O,H2O
REACTANT,REACTANT,"2-fluoro-6-(2H-1,2,3-triazol-2-yl)benzoic acid","2-fluoro-6-(2H-1,2,3-triazol-2-yl)benzoic acid"
REACTANT,REACTANT,SOCl2,SOCl2
SOLVENT,SOLVENT,PhCH3,PhCH3
REACTANT,REACTANT,sodium hydroxide,sodium hydroxide
REACTANT,REACTANT,"4'-chloro-2'-fluoro-5'-[hexahydro-2,4, 6-trioxo-3-(2-propynyl)-s-triazin-1-yl]acetanilide","4'-chloro-2'-fluoro-5'-[hexahydro-2,4, 6-trioxo-3-(2-propynyl)-s-triazin-1-yl]acetanilide"
REACTANT,REACTANT,hydrochloric acid,hydrochloric acid
SOLVENT,SOLVENT,ethanol,ethanol
REACTANT,REACTANT,ethyl acetate,ethyl acetate
REACTANT,REACTANT,ammonium chloride,ammonium chloride
SOLVENT,SOLVENT,THF,THF
REACTANT,REACTANT,p-methoxyphenylmagnesium bromide,p-methoxyphenylmagnesium bromide
REACTANT,REACTANT,1-(p-benzyloxybenzoyl)-6-methoxy-2-tetralone,1-(p-benzyloxybenzoyl)-6-methoxy-2-tetralone
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,sodium hydroxide,sodium hydroxide
REACTANT,REACTANT,4-chloroaniline,4-chloroaniline
REACTANT,REACTANT,4-bromobenzoyl chloride,4-bromobenzoyl chloride
REACTANT,REACTANT,triethyl amine,triethyl amine
SOLVENT,SOLVENT,dichloromethane,dichloromethane
REACTANT,REACTANT,Ethyl 1-benzyl-3-oxopiperidine-4-carboxylate,Ethyl 1-benzyl-3-oxopiperidine-4-carboxylate
REACTANT,REACTANT,ammonium acetate,ammonium acetate
SOLVENT,SOLVENT,MeOH,MeOH
REACTANT,REACTANT,Tert-butyl 4-[3-fluoro(4-fluorobenzyl)anilino]-1-piperidinecarboxylate,Tert-butyl 4-[3-fluoro(4-fluorobenzyl)anilino]-1-piperidinecarboxylate
SOLVENT,SOLVENT,dichloromethane,dichloromethane
REACTANT,REACTANT,TFA,TFA
REACTANT,REACTANT,TFA,TFA
REACTANT,REACTANT,L-serine methyl ester hydrochloride,L-serine methyl ester hydrochloride
REACTANT,REACTANT,triethylamine,triethylamine
SOLVENT,SOLVENT,CH2Cl2,CH2Cl2
REACTANT,REACTANT,Chlorotriphenylmethane,Chlorotriphenylmethane
SOLVENT,SOLVENT,dichloromethane,dichloromethane
REACTANT,REACTANT,sodium triacetoxyborohydride,sodium triacetoxyborohydride
SOLVENT,SOLVENT,"1,2-dichloroethane","1,2-dichloroethane"
REACTANT,REACTANT,3-(3-chloro-phenyl)-piperidine fumaric acid salt,3-(3-chloro-phenyl)-piperidine fumaric acid salt
REACTANT,REACTANT,6-(4-formyl-phenoxy)-nicotinamide,6-(4-formyl-phenoxy)-nicotinamide
REACTANT,REACTANT,acetic acid,acetic acid
REACTANT,COMPOUND_MISSING,compound,COMPOUND_MISSING
